csas_reference_id,year,extracted_title,reference,priority_for_scope_audit,priority_reason,corpus_match_status,matched_corpus_id,matched_corpus_title,match_score,match_method,manual_audit_note
CSAS-046,2016,"Observations, inferences, and mechanisms of Atlantic Meridional Overturning Circulation variability: A review","Buckley, M.W., and Marshall, J. 2016. Observations, inferences, and mechanisms of Atlantic Meridional Overturning Circulation variability: A review. Reviews of Geophysics. 54: 5–63.",NO,,PRESENT,CWC-034B5B194DB6,C,0.851,fuzzy title/year,
CSAS-047,2004,Symbiosis in deep-water corals,"Buhl-Mortensen, L., and Mortensen, P.B. 2004. Symbiosis in deep-water corals. Symbiosis. 37: 33–61.",NO,,NOT FOUND,,,0.462,no match above 0.84 threshold within publication year +/- 1,
CSAS-048,2005,Distribution and diversity of species associated with deep-sea gorgonian corals off Atlantic Canada,"Buhl-Mortensen, L., and Mortensen, P.B. 2005. Distribution and diversity of species associated with deep-sea gorgonian corals off Atlantic Canada. In Cold-Water Corals and Ecosystems. Edited by A. Freiwald and J.M. Roberts. Springer Berlin, Heidelberg. pp. 849–879.",NO,,PRESENT,CWC-9E249407A8FE,Distribution and diversity of species associated with deep-sea gorgonian corals off Atlantic Canada,1.0,normalized title contained in CSAS reference,
CSAS-049,2010,"Environmental Monitoring Report: Morvin 2009–2010, Institute of Marine Research. 125 p","Buhl-Mortensen, P., Klungsøyr, J., Meier, S., Purser, A., Tenningen, E., and Thomsen L. 2010. Environmental Monitoring Report: Morvin 2009–2010, Institute of Marine Research. 125 p.",NO,,NOT FOUND,,,0.632,no match above 0.84 threshold within publication year +/- 1,
CSAS-050,2016,Trophic Ecology and Habitat Provision in Cold-Water Coral Ecosystems,"Buhl-Mortensen, P., Buhl-Mortensen, L., and Purser, A. 2016. Trophic Ecology and Habitat Provision in Cold-Water Coral Ecosystems. In Marine Animal Forests. Edited by S. Rossi. Springer International Publishing, Switzerland, pp. 919–944",NO,,PRESENT,CWC-D690E6C23BCD,Marine Animal Forests,1.0,normalized title contained in CSAS reference,
CSAS-051,2017,"First description of a Lophelia pertusa reef complex in Atlantic Canada. Deep-Sea Res. I 126, 21e30","Buhl-Mortensen, P., Gordon Jr., D.C., Buhl-Mortensen, L., and Kulka, D.W. 2017. First description of a Lophelia pertusa reef complex in Atlantic Canada. Deep-Sea Res. I 126, 21e30.",NO,,PRESENT,CWC-034B5B194DB6,C,0.852,fuzzy title/year,
CSAS-052,2019,Vulnerable marine ecosystems,"Buhl-Mortensen, L., Burgos, J., Steingrund, P., Buhl-Mortensen, P., Olafsdottir, S., and Ragnarsson, S. 2019. Vulnerable marine ecosystems. Coral and sponge VMEs in Arctic and sub-Arctic waters Distribution and threats. 10.13140/RG.2.2.13159.50084. 145 p.",NO,,PRESENT,CWC-8E48F0DE7427,Ecosystem Valuation of Vulnerable Marine Ecosystems in the South Pacific Islands,0.902,fuzzy title/year,
CSAS-053,2009,Coral recruitment and early benthic community development on several materials used in the construction of artificial reefs and breakwaters. J,"Burt, J., Bartholomew, A., Bauman, A., Saif, A., and Sale, P.F. 2009. Coral recruitment and early benthic community development on several materials used in the construction of artificial reefs and breakwaters. J. Exp. Mar. Biol. Ecol. 373: 72–78.",NO,,PRESENT,CWC-60A91046FB9D,Coral recruitment and early benthic community development on several materials used in the construction of artificial reefs and breakwaters,1.0,normalized title contained in CSAS reference,
CSAS-054,2013,"The impact of simulated dredging on sponges of the East Australian coastline semester report, University of Stuttgart, Stuttgart, Germany","Büttner, E., and Siebler, F. 2013. The impact of simulated dredging on sponges of the East Australian coastline semester report, University of Stuttgart, Stuttgart, Germany.",NO,,NOT FOUND,,,0.357,no match above 0.84 threshold within publication year +/- 1,
CSAS-055,1981,Marine Flora and Fauna of the northeastern United States,"Cairns, S.D. 1981. Marine Flora and Fauna of the northeastern United States. Scleractinia. NOAA Technical Report NMFS Circular 438: U.S. Department of Commerce. National Oceanic Atmospheric Administration, Seattle, Washington. 15 p.",NO,,NOT FOUND,,,0.583,no match above 0.84 threshold within publication year +/- 1,
