seed_generation,corpus_id,openalex_id,title,doi,families,discovery_systems,occurrence_count,seed_basis
0,CWC-5E28A716FFBA,W2092097523,"DMS and DMSP in mucus ropes, coral mucus, surface films and sediment pore waters from coral reefs in the Great Barrier Reef",10.1071/mf04114,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-2CE5EB8EAB8A,W2058068285,Effects of drilling mud on the reef-building coral Montastrea annularis,10.1007/bf00394622,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DRILLING,OpenAlex | Semantic Scholar | Web of Science,8,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-C02C582DDBE5,W2168092021,Effects of sediment on the energy budgets of four scleractinian (Bourne 1900) and five alcyonacean (Lamouroux 1816) corals,10.1016/0022-0981(94)00164-9,MECH_FEEDING_MUCUS_CORAL,Grey literature | OpenAlex | Semantic Scholar | Web of Science,5,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-187332C76D22,W2417065799,Archaeal and Bacterial Communities Associated with the Surface Mucus of Caribbean Corals Differ in Their Degree of Host Specificity and Community Turnover Over Reefs,10.1371/journal.pone.0144702,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-B5893A87110B,W2153254329,Sediment as a possible source of food for corals,10.1046/j.1461-0248.1999.00097.x,MECH_FEEDING_MUCUS_CORAL | SED_DEPOSITION | SED_SUSPENDED,OpenAlex | Web of Science,5,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-5FE65A59C78C,W1993433376,"Effects of salinity and sedimentation on the Gorgonian Coral, Leptogorgia virgulata (Lamarck 1815)",10.1016/j.jembe.2011.09.014,MECH_FEEDING_MUCUS_CORAL | SED_DEPOSITION | SED_DREDGING,OpenAlex | Semantic Scholar | Web of Science,7,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-BA8D1E278063,W1999565816,Bacterial communities and species-specific associations with the mucus of Brazilian coral species,10.1038/srep01624,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-6496CF07F5D1,W3161194629,"Polycyclic aromatic hydrocarbons (PAHs) in the non-bleached and bleached corals and their ambient environment: The role of suspended particulate matter, mucus, and positive matrix factorization model for identifying contributions to the carcinogenicity of PAH sources",10.1016/j.scitotenv.2021.147688,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-56F58D15F751,W2125013001,Suspended sediment prolongs larval development in a coral reef fish,10.1242/jeb.094409,MECH_FEEDING_MUCUS_CORAL | RESP_THRESHOLD_RECOVERY | SED_DEPOSITION | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,10,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-50EE0C657590,W4413287323,The Dark Side of Mucus: Stress‐Induced Mucus Aggregate (SIMA) on Tubastraea Corals in a Heavily Impacted Bay,10.1111/aec.70107,MECH_FEEDING_MUCUS_CORAL,Semantic Scholar | Web of Science,2,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-F150A4FE0A53,W2163996015,"Predictions of Turbidity Due to Enhanced Sediment Resuspension Resulting from Sea-Level Rise on a Fringing Coral Reef: Evidence from Molokai, Hawaii",10.2112/jcoastres-d-09-00064.1,MECH_FEEDING_MUCUS_CORAL | SED_DREDGING | SED_SUSPENDED,Grey literature | OpenAlex | Semantic Scholar | Web of Science,10,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-3613B1A4F250,W2051672915,Mineralization of particulate organic matter derived from coral-reef organisms in reef sediments of the Gulf of Aqaba,10.1080/02757540500456823,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-44096D6A2C91,W1886228056,Phylogenetic characterization of culturable actinomycetes associated with the mucus of the coral Acropora digitifera from Gulf of Mannar,10.1111/j.1574-6968.2010.02149.x,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-3C8424A0D932,W4292081178,Sponges sneeze mucus to shed particulate waste from their seawater inlet pores,10.1016/j.cub.2022.07.017,MECH_FEEDING_MUCUS_CORAL | SED_TAILINGS,OpenAlex | Semantic Scholar | Web of Science,4,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-E98D3B2999B1,W4210594212,No short-term effect of sinking microplastics on heterotrophy or sediment clearing in the tropical coral Stylophora pistillata,10.1038/s41598-022-05420-7,MECH_FEEDING_MUCUS_CORAL | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,6,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-5BFDC19E6EF5,W2224977347,Spatial Homogeneity of Bacterial Communities Associated with the Surface Mucus Layer of the Reef-Building Coral Acropora palmata,10.1371/journal.pone.0143790,MECH_FEEDING_MUCUS_CORAL,OpenAlex | Semantic Scholar | Web of Science,3,title organism+stressor; >=2 systems or >=3 occurrences
0,CWC-EF9492C23A9D,W2765676482,Increasing benthic dominance of the phototrophic sponge Lamellodysidea herbacea on a sedimented reef within the Coral Triangle,10.1007/s00227-017-3253-3,MECH_FEEDING_MUCUS_CORAL | SED_SUSPENDED,OpenAlex | Semantic Scholar | Web of Science,7,title organism+stressor; >=2 systems or >=3 occurrences
